Month-year,CPI,Interest Rates,Exchange Rates,Product,Unit of Quantity,Production
15-Dec,3.2,7.28,145.7072,Cotton Yarn,Tonnes,"284,185"
16-Jan,3.3,7.15,146.7072,Cotton Yarn,Tonnes,"284,335"
16-Feb,4,7.28,147.7072,Cotton Yarn,Tonnes,"281,185"
16-Mar,3.9,7.13,148.7072,Cotton Yarn,Tonnes,"282,685"
16-Apr,4.2,6.03,149.7072,Cotton Yarn,Tonnes,"284,135"
16-May,3.2,7.07,150.7072,Cotton Yarn,Tonnes,"284,585"
16-Jun,3.2,7.15,151.7072,Cotton Yarn,Tonnes,"285,025"
16-Jul,4.1,6.95,152.7072,Cotton Yarn,Tonnes,"284,623"
16-Aug,3.6,6.82,153.7072,Cotton Yarn,Tonnes,"284,315"
16-Sep,3.9,6.9,154.7072,Cotton Yarn,Tonnes,"285,050"
16-Oct,4.2,6.96,155.7072,Cotton Yarn,Tonnes,"285,600"
16-Nov,3.8,6.84,156.7072,Cotton Yarn,Tonnes,"285,125"
16-Dec,3.7,7,157.7072,Cotton Yarn,Tonnes,"286,450"
17-Jan,3.7,7.09,158.7072,Cotton Yarn,Tonnes,"286,900"
17-Feb,4.2,6.95,159.7072,Cotton Yarn,Tonnes,"287,100"
17-Mar,4.9,6.93,160.7072,Cotton Yarn,Tonnes,"287,450"
17-Apr,4.8,6.9,161.7072,Cotton Yarn,Tonnes,"284,975"
17-May,5,6.93,162.7072,Cotton Yarn,Tonnes,"285,460"
17-Jun,3.9,7.07,163.7072,Cotton Yarn,Tonnes,"284,185"
17-Jul,2.9,7.03,164.7072,Cotton Yarn,Tonnes,"284,640"
17-Aug,3.4,6.86,165.7072,Cotton Yarn,Tonnes,"284,935"
17-Sep,3.9,6.92,166.7072,Cotton Yarn,Tonnes,"285,175"
17-Oct,3.8,7.01,167.7072,Cotton Yarn,Tonnes,"285,630"
17-Nov,4,7.07,168.7072,Cotton Yarn,Tonnes,"285,450"
17-Dec,4.6,7.04,169.7072,Cotton Yarn,Tonnes,"286,535"
18-Jan,4.4,7.11,170.7072,Cotton Yarn,Tonnes,"286,925"
18-Feb,3.8,7.01,171.7072,Cotton Yarn,Tonnes,"287,450"
18-Mar,3.2,7,172.7072,Cotton Yarn,Tonnes,"287,475"
18-Apr,3.7,7.22,173.7072,Cotton Yarn,Tonnes,"285,125"
18-May,4.2,7.16,174.7072,Cotton Yarn,Tonnes,"285,470"
18-Jun,5.2,7.45,175.7072,Cotton Yarn,Tonnes,"285,240"
18-Jul,5.8,7.72,176.7072,Cotton Yarn,Tonnes,"284,700"
18-Aug,5.8,7.94,177.7072,Cotton Yarn,Tonnes,"285,015"
18-Sep,5.1,8.12,178.7072,Cotton Yarn,Tonnes,"285,240"
18-Oct,6.8,8.81,179.7072,Cotton Yarn,Tonnes,"285,750"
18-Nov,6.5,9.13,180.7072,Cotton Yarn,Tonnes,"285,545"
18-Dec,6.2,9.73,181.7072,Cotton Yarn,Tonnes,"286,550"
19-Jan,7.2,10.66,182.7072,Cotton Yarn,Tonnes,"286,925"
19-Feb,8.2,10.49,183.7072,Cotton Yarn,Tonnes,"287,475"
19-Mar,9.4,10.67,184.7072,Cotton Yarn,Tonnes,"287,500"
19-Apr,8.8,11.18,185.7072,Cotton Yarn,Tonnes,"285,200"
19-May,9.1,11.6,186.7072,Cotton Yarn,Tonnes,"285,550"
19-Jun,8.9,12.43,187.7072,Cotton Yarn,Tonnes,"285,940"
19-Jul,10.3,13.26,188.7072,Cotton Yarn,Tonnes,"285,870"
19-Aug,11.6,13.09,189.7072,Cotton Yarn,Tonnes,"285,100"
19-Sep,12.6,13.51,190.7072,Cotton Yarn,Tonnes,"285,330"
19-Oct,11.1,13.67,191.7072,Cotton Yarn,Tonnes,"285,775"
19-Nov,12.3,13.84,192.7072,Cotton Yarn,Tonnes,"285,950"
19-Dec,12.4,13.84,193.7072,Cotton Yarn,Tonnes,"286,600"
13-Jan,8.1,10.61,110.7072,Cotton Cloth,000 Sq.M,86600
13-Feb,7.4,10.53,111.7072,Cotton Cloth,1 Sq.M,"85,800"
13-Mar,6.6,10.46,112.7072,Cotton Cloth,2 Sq.M,"86,000"
13-Apr,5.8,10.51,113.7072,Cotton Cloth,3 Sq.M,"85,850"
13-May,5.1,10.65,114.7072,Cotton Cloth,4 Sq.M,"85,950"
13-Jun,5.9,10.56,115.7072,Cotton Cloth,5 Sq.M,"86,020"
13-Jul,8.3,10.2,116.7072,Cotton Cloth,6 Sq.M,"86,200"
13-Aug,8.5,9.69,117.7072,Cotton Cloth,7 Sq.M,"86,500"
13-Sep,7.4,9.7,118.7072,Cotton Cloth,8 Sq.M,"86,300"
13-Oct,9.1,10.38,119.7072,Cotton Cloth,9 Sq.M,"86,400"
13-Nov,10.9,10,120.7072,Cotton Cloth,10 Sq.M,"85,900"
13-Dec,9.2,10.54,121.7072,Cotton Cloth,11 Sq.M,"86,100"
14-Jan,7.9,11.02,122.7072,Cotton Cloth,12 Sq.M,"86,600"
14-Feb,7.9,10.66,123.7072,Cotton Cloth,13 Sq.M,"86,000"
14-Mar,8.5,10.53,124.7072,Cotton Cloth,14 Sq.M,"86,500"
14-Apr,9.2,10.81,125.7072,Cotton Cloth,15 Sq.M,"86,200"
14-May,8.3,10.59,126.7072,Cotton Cloth,16 Sq.M,"86,800"
14-Jun,8.2,10.37,127.7072,Cotton Cloth,17 Sq.M,"86,600"
14-Jul,7.9,10.38,128.7072,Cotton Cloth,18 Sq.M,"86,650"
14-Aug,7,10.33,129.7072,Cotton Cloth,19 Sq.M,"86,400"
14-Sep,7.7,10.3,130.7072,Cotton Cloth,20 Sq.M,"86,200"
14-Oct,5.8,10.48,131.7072,Cotton Cloth,21 Sq.M,"86,000"
14-Nov,4,10.41,132.7072,Cotton Cloth,22 Sq.M,"86,100"
14-Dec,4.3,10.28,133.7072,Cotton Cloth,23 Sq.M,"86,250"
15-Jan,3.9,10.35,134.7072,Cotton Cloth,24 Sq.M,"86,650"
15-Feb,3.2,9.5,135.7072,Cotton Cloth,25 Sq.M,"86,050"
15-Mar,2.5,9.31,136.7072,Cotton Cloth,26 Sq.M,"86,600"
15-Apr,2.1,8.85,137.7072,Cotton Cloth,27 Sq.M,"86,650"
15-May,3.2,8.61,138.7072,Cotton Cloth,28 Sq.M,"86,800"
15-Jun,3.2,8.24,139.7072,Cotton Cloth,29 Sq.M,"86,600"
15-Jul,1.9,7.88,140.7072,Cotton Cloth,30 Sq.M,"87,033"
15-Aug,1.8,7.78,141.7072,Cotton Cloth,31 Sq.M,"87,000"
15-Sep,1.3,7.78,142.7072,Cotton Cloth,32 Sq.M,"86,900"
15-Oct,1.6,7.57,143.7072,Cotton Cloth,33 Sq.M,"86,950"
15-Nov,2.7,7.32,144.7072,Cotton Cloth,34 Sq.M,"86,500"
15-Dec,3.2,7.28,145.7072,Cotton Cloth,35 Sq.M,"86,600"
16-Jan,3.3,7.15,146.7072,Cotton Cloth,36 Sq.M,"86,650"
16-Feb,4,7.28,147.7072,Cotton Cloth,37 Sq.M,"86,100"
16-Mar,3.9,7.13,148.7072,Cotton Cloth,38 Sq.M,"86,500"
16-Apr,4.2,6.03,149.7072,Cotton Cloth,39 Sq.M,"86,300"
16-May,3.2,7.07,150.7072,Cotton Cloth,40 Sq.M,"86,650"
16-Jun,3.2,7.15,151.7072,Cotton Cloth,41 Sq.M,"86,075"
16-Jul,4.1,6.95,152.7072,Cotton Cloth,42 Sq.M,"87,050"
16-Aug,3.6,6.82,153.7072,Cotton Cloth,43 Sq.M,"87,150"
16-Sep,3.9,6.9,154.7072,Cotton Cloth,44 Sq.M,"87,200"
16-Oct,4.2,6.96,155.7072,Cotton Cloth,45 Sq.M,"87,050"
16-Nov,3.8,6.84,156.7072,Cotton Cloth,46 Sq.M,"86,800"
16-Dec,3.7,7,157.7072,Cotton Cloth,47 Sq.M,"86,950"
17-Jan,3.7,7.09,158.7072,Cotton Cloth,48 Sq.M,"87,250"
17-Feb,4.2,6.95,159.7072,Cotton Cloth,49 Sq.M,"87,300"
17-Mar,4.9,6.93,160.7072,Cotton Cloth,50 Sq.M,"87,500"
17-Apr,4.8,6.9,161.7072,Cotton Cloth,51 Sq.M,"86,315"
17-May,5,6.93,162.7072,Cotton Cloth,52 Sq.M,"86,700"
17-Jun,3.9,7.07,163.7072,Cotton Cloth,53 Sq.M,"86,000"
17-Jul,2.9,7.03,164.7072,Cotton Cloth,54 Sq.M,"87,060"
17-Aug,3.4,6.86,165.7072,Cotton Cloth,55 Sq.M,"87,085"
17-Sep,3.9,6.92,166.7072,Cotton Cloth,56 Sq.M,"87,215"
17-Oct,3.8,7.01,167.7072,Cotton Cloth,57 Sq.M,"87,100"
17-Nov,4,7.07,168.7072,Cotton Cloth,58 Sq.M,"86,900"
17-Dec,4.6,7.04,169.7072,Cotton Cloth,59 Sq.M,"87,000"
18-Jan,4.4,7.11,170.7072,Cotton Cloth,60 Sq.M,"87,275"
18-Feb,3.8,7.01,171.7072,Cotton Cloth,61 Sq.M,"87,400"
18-Mar,3.2,7,172.7072,Cotton Cloth,62 Sq.M,"87,600"
18-Apr,3.7,7.22,173.7072,Cotton Cloth,63 Sq.M,"86,405"
18-May,4.2,7.16,174.7072,Cotton Cloth,64 Sq.M,"86,600"
18-Jun,5.2,7.45,175.7072,Cotton Cloth,65 Sq.M,"86,100"
18-Jul,5.8,7.72,176.7072,Cotton Cloth,66 Sq.M,"87,150"
18-Aug,5.8,7.94,177.7072,Cotton Cloth,67 Sq.M,"87,200"
18-Sep,5.1,8.12,178.7072,Cotton Cloth,68 Sq.M,"87,250"
18-Oct,6.8,8.81,179.7072,Cotton Cloth,69 Sq.M,"87,325"
18-Nov,6.5,9.13,180.7072,Cotton Cloth,70 Sq.M,"87,025"
18-Dec,6.2,9.73,181.7072,Cotton Cloth,71 Sq.M,"87,050"
19-Jan,7.2,10.66,182.7072,Cotton Cloth,72 Sq.M,"87,100"
19-Feb,8.2,10.49,183.7072,Cotton Cloth,73 Sq.M,"87,450"
19-Mar,9.4,10.67,184.7072,Cotton Cloth,74 Sq.M,"87,650"
19-Apr,8.8,11.18,185.7072,Cotton Cloth,75 Sq.M,"86,450"
19-May,9.1,11.6,186.7072,Cotton Cloth,76 Sq.M,"87,100"
19-Jun,8.9,12.43,187.7072,Cotton Cloth,77 Sq.M,"87,250"
19-Jul,10.3,13.26,188.7072,Cotton Cloth,78 Sq.M,"87,285"
19-Aug,11.6,13.09,189.7072,Cotton Cloth,79 Sq.M,"87,300"
19-Sep,12.6,13.51,190.7072,Cotton Cloth,80 Sq.M,"87,300"
19-Oct,11.1,13.67,191.7072,Cotton Cloth,81 Sq.M,"87,350"
19-Nov,12.3,13.84,192.7072,Cotton Cloth,82 Sq.M,"87,380"
19-Dec,12.4,13.84,193.7072,Cotton Cloth,83 Sq.M,"87,360"
13-Jan,8.1,10.61,110.7072,Jute Goods,Tonnes,9482
13-Feb,7.4,10.53,111.7072,Jute Goods,Tonnes,"9,548"
13-Mar,6.6,10.46,112.7072,Jute Goods,Tonnes,"10,212"
13-Apr,5.8,10.51,113.7072,Jute Goods,Tonnes,"9,381"
13-May,5.1,10.65,114.7072,Jute Goods,Tonnes,"9,924"
13-Jun,5.9,10.56,115.7072,Jute Goods,Tonnes,"9,492"
13-Jul,8.3,10.2,116.7072,Jute Goods,Tonnes,"8,765"
13-Aug,8.5,9.69,117.7072,Jute Goods,Tonnes,"7,226"
13-Sep,7.4,9.7,118.7072,Jute Goods,Tonnes,"8,959"
13-Oct,9.1,10.38,119.7072,Jute Goods,Tonnes,"7,964"
13-Nov,10.9,10,120.7072,Jute Goods,Tonnes,"9,061"
13-Dec,9.2,10.54,121.7072,Jute Goods,Tonnes,"9,767"
14-Jan,7.9,11.02,122.7072,Jute Goods,Tonnes,"9,482"
14-Feb,7.9,10.66,123.7072,Jute Goods,Tonnes,"8,410"
14-Mar,8.5,10.53,124.7072,Jute Goods,Tonnes,"9,049"
14-Apr,9.2,10.81,125.7072,Jute Goods,Tonnes,"8,313"
14-May,8.3,10.59,126.7072,Jute Goods,Tonnes,"7,602"
14-Jun,8.2,10.37,127.7072,Jute Goods,Tonnes,"7,124"
14-Jul,7.9,10.38,128.7072,Jute Goods,Tonnes,"7,073"
14-Aug,7,10.33,129.7072,Jute Goods,Tonnes,"7,422"
14-Sep,7.7,10.3,130.7072,Jute Goods,Tonnes,"8,126"
14-Oct,5.8,10.48,131.7072,Jute Goods,Tonnes,"7,250"
14-Nov,4,10.41,132.7072,Jute Goods,Tonnes,"7,875"
14-Dec,4.3,10.28,133.7072,Jute Goods,Tonnes,"8,421"
15-Jan,3.9,10.35,134.7072,Jute Goods,Tonnes,"8,695"
15-Feb,3.2,9.5,135.7072,Jute Goods,Tonnes,"8,325"
15-Mar,2.5,9.31,136.7072,Jute Goods,Tonnes,"8,483"
15-Apr,2.1,8.85,137.7072,Jute Goods,Tonnes,"8,262"
15-May,3.2,8.61,138.7072,Jute Goods,Tonnes,"7,522"
15-Jun,3.2,8.24,139.7072,Jute Goods,Tonnes,"6,938"
15-Jul,1.9,7.88,140.7072,Jute Goods,Tonnes,"5,265"
15-Aug,1.8,7.78,141.7072,Jute Goods,Tonnes,"7,112"
15-Sep,1.3,7.78,142.7072,Jute Goods,Tonnes,"5,855"
15-Oct,1.6,7.57,143.7072,Jute Goods,Tonnes,"6,142"
15-Nov,2.7,7.32,144.7072,Jute Goods,Tonnes,"6,043"
15-Dec,3.2,7.28,145.7072,Jute Goods,Tonnes,"5,333"
16-Jan,3.3,7.15,146.7072,Jute Goods,Tonnes,"3,906"
16-Feb,4,7.28,147.7072,Jute Goods,Tonnes,"3,065"
16-Mar,3.9,7.13,148.7072,Jute Goods,Tonnes,"2,681"
16-Apr,4.2,6.03,149.7072,Jute Goods,Tonnes,"3,465"
16-May,3.2,7.07,150.7072,Jute Goods,Tonnes,"3,348"
16-Jun,3.2,7.15,151.7072,Jute Goods,Tonnes,"5,179"
16-Jul,4.1,6.95,152.7072,Jute Goods,Tonnes,"2,680"
16-Aug,3.6,6.82,153.7072,Jute Goods,Tonnes,"3,144"
16-Sep,3.9,6.9,154.7072,Jute Goods,Tonnes,"2,782"
16-Oct,4.2,6.96,155.7072,Jute Goods,Tonnes,"4,040"
16-Nov,3.8,6.84,156.7072,Jute Goods,Tonnes,"4,336"
16-Dec,3.7,7,157.7072,Jute Goods,Tonnes,"4,953"
17-Jan,3.7,7.09,158.7072,Jute Goods,Tonnes,"6,352"
17-Feb,4.2,6.95,159.7072,Jute Goods,Tonnes,"6,421"
17-Mar,4.9,6.93,160.7072,Jute Goods,Tonnes,"7,085"
17-Apr,4.8,6.9,161.7072,Jute Goods,Tonnes,"6,539"
17-May,5,6.93,162.7072,Jute Goods,Tonnes,"6,379"
17-Jun,3.9,7.07,163.7072,Jute Goods,Tonnes,"3,162"
17-Jul,2.9,7.03,164.7072,Jute Goods,Tonnes,"5,861"
17-Aug,3.4,6.86,165.7072,Jute Goods,Tonnes,"6,026"
17-Sep,3.9,6.92,166.7072,Jute Goods,Tonnes,"5,159"
17-Oct,3.8,7.01,167.7072,Jute Goods,Tonnes,"5,978"
17-Nov,4,7.07,168.7072,Jute Goods,Tonnes,"6,048"
17-Dec,4.6,7.04,169.7072,Jute Goods,Tonnes,"6,620"
18-Jan,4.4,7.11,170.7072,Jute Goods,Tonnes,"6,936"
18-Feb,3.8,7.01,171.7072,Jute Goods,Tonnes,"6,223"
18-Mar,3.2,7,172.7072,Jute Goods,Tonnes,"6,883"
18-Apr,3.7,7.22,173.7072,Jute Goods,Tonnes,"6,635"
18-May,4.2,7.16,174.7072,Jute Goods,Tonnes,"6,673"
18-Jun,5.2,7.45,175.7072,Jute Goods,Tonnes,"5,138"
18-Jul,5.8,7.72,176.7072,Jute Goods,Tonnes,"5,408"
18-Aug,5.8,7.94,177.7072,Jute Goods,Tonnes,"4,916"
18-Sep,5.1,8.12,178.7072,Jute Goods,Tonnes,"5,343"
18-Oct,6.8,8.81,179.7072,Jute Goods,Tonnes,"6,009"
18-Nov,6.5,9.13,180.7072,Jute Goods,Tonnes,"5,605"
18-Dec,6.2,9.73,181.7072,Jute Goods,Tonnes,"5,538"
19-Jan,7.2,10.66,182.7072,Jute Goods,Tonnes,"5,233"
19-Feb,8.2,10.49,183.7072,Jute Goods,Tonnes,"4,730"
19-Mar,9.4,10.67,184.7072,Jute Goods,Tonnes,"5,116"
19-Apr,8.8,11.18,185.7072,Jute Goods,Tonnes,"5,291"
19-May,9.1,11.6,186.7072,Jute Goods,Tonnes,"10,323"
19-Jun,8.9,12.43,187.7072,Jute Goods,Tonnes,"3,594"
19-Jul,10.3,13.26,188.7072,Jute Goods,Tonnes,"4,627"
19-Aug,11.6,13.09,189.7072,Jute Goods,Tonnes,"3,799"
19-Sep,12.6,13.51,190.7072,Jute Goods,Tonnes,"4,918"
19-Oct,11.1,13.67,191.7072,Jute Goods,Tonnes,"5,910"
19-Nov,12.3,13.84,192.7072,Jute Goods,Tonnes,"5,761"
19-Dec,12.4,13.84,193.7072,Jute Goods,Tonnes,"6,077"
13-Jan,8.1,10.61,110.7072,Hessian,Tonnes,1467
13-Feb,7.4,10.53,111.7072,Hessian,Tonnes,990
13-Mar,6.6,10.46,112.7072,Hessian,Tonnes,"1,023"
13-Apr,5.8,10.51,113.7072,Hessian,Tonnes,916
13-May,5.1,10.65,114.7072,Hessian,Tonnes,972
13-Jun,5.9,10.56,115.7072,Hessian,Tonnes,"1,261"
13-Jul,8.3,10.2,116.7072,Hessian,Tonnes,"1,376"
13-Aug,8.5,9.69,117.7072,Hessian,Tonnes,"1,231"
13-Sep,7.4,9.7,118.7072,Hessian,Tonnes,"1,290"
13-Oct,9.1,10.38,119.7072,Hessian,Tonnes,"1,178"
13-Nov,10.9,10,120.7072,Hessian,Tonnes,"1,354"
13-Dec,9.2,10.54,121.7072,Hessian,Tonnes,"1,450"
14-Jan,7.9,11.02,122.7072,Hessian,Tonnes,"1,467"
14-Feb,7.9,10.66,123.7072,Hessian,Tonnes,"1,349"
14-Mar,8.5,10.53,124.7072,Hessian,Tonnes,"1,421"
14-Apr,9.2,10.81,125.7072,Hessian,Tonnes,"1,047"
14-May,8.3,10.59,126.7072,Hessian,Tonnes,992
14-Jun,8.2,10.37,127.7072,Hessian,Tonnes,987
14-Jul,7.9,10.38,128.7072,Hessian,Tonnes,968
14-Aug,7,10.33,129.7072,Hessian,Tonnes,"1,044"
14-Sep,7.7,10.3,130.7072,Hessian,Tonnes,"1,043"
14-Oct,5.8,10.48,131.7072,Hessian,Tonnes,871
14-Nov,4,10.41,132.7072,Hessian,Tonnes,"1,111"
14-Dec,4.3,10.28,133.7072,Hessian,Tonnes,"1,337"
15-Jan,3.9,10.35,134.7072,Hessian,Tonnes,"1,314"
15-Feb,3.2,9.5,135.7072,Hessian,Tonnes,"1,206"
15-Mar,2.5,9.31,136.7072,Hessian,Tonnes,"1,210"
15-Apr,2.1,8.85,137.7072,Hessian,Tonnes,943
15-May,3.2,8.61,138.7072,Hessian,Tonnes,890
15-Jun,3.2,8.24,139.7072,Hessian,Tonnes,"1,189"
15-Jul,1.9,7.88,140.7072,Hessian,Tonnes,"1,051"
15-Aug,1.8,7.78,141.7072,Hessian,Tonnes,"1,408"
15-Sep,1.3,7.78,142.7072,Hessian,Tonnes,"1,073"
15-Oct,1.6,7.57,143.7072,Hessian,Tonnes,"1,285"
15-Nov,2.7,7.32,144.7072,Hessian,Tonnes,"1,248"
15-Dec,3.2,7.28,145.7072,Hessian,Tonnes,"1,383"
16-Jan,3.3,7.15,146.7072,Hessian,Tonnes,"1,381"
16-Feb,4,7.28,147.7072,Hessian,Tonnes,"1,162"
16-Mar,3.9,7.13,148.7072,Hessian,Tonnes,981
16-Apr,4.2,6.03,149.7072,Hessian,Tonnes,760
16-May,3.2,7.07,150.7072,Hessian,Tonnes,770
16-Jun,3.2,7.15,151.7072,Hessian,Tonnes,767
16-Jul,4.1,6.95,152.7072,Hessian,Tonnes,771
16-Aug,3.6,6.82,153.7072,Hessian,Tonnes,977
16-Sep,3.9,6.9,154.7072,Hessian,Tonnes,685
16-Oct,4.2,6.96,155.7072,Hessian,Tonnes,939
16-Nov,3.8,6.84,156.7072,Hessian,Tonnes,896
16-Dec,3.7,7,157.7072,Hessian,Tonnes,873
17-Jan,3.7,7.09,158.7072,Hessian,Tonnes,822
17-Feb,4.2,6.95,159.7072,Hessian,Tonnes,731
17-Mar,4.9,6.93,160.7072,Hessian,Tonnes,683
17-Apr,4.8,6.9,161.7072,Hessian,Tonnes,584
17-May,5,6.93,162.7072,Hessian,Tonnes,738
17-Jun,3.9,7.07,163.7072,Hessian,Tonnes,971
17-Jul,2.9,7.03,164.7072,Hessian,Tonnes,889
17-Aug,3.4,6.86,165.7072,Hessian,Tonnes,979
17-Sep,3.9,6.92,166.7072,Hessian,Tonnes,833
17-Oct,3.8,7.01,167.7072,Hessian,Tonnes,"1,011"
17-Nov,4,7.07,168.7072,Hessian,Tonnes,"1,034"
17-Dec,4.6,7.04,169.7072,Hessian,Tonnes,791
18-Jan,4.4,7.11,170.7072,Hessian,Tonnes,831
18-Feb,3.8,7.01,171.7072,Hessian,Tonnes,765
18-Mar,3.2,7,172.7072,Hessian,Tonnes,710
18-Apr,3.7,7.22,173.7072,Hessian,Tonnes,585
18-May,4.2,7.16,174.7072,Hessian,Tonnes,789
18-Jun,5.2,7.45,175.7072,Hessian,Tonnes,753
18-Jul,5.8,7.72,176.7072,Hessian,Tonnes,847
18-Aug,5.8,7.94,177.7072,Hessian,Tonnes,857
18-Sep,5.1,8.12,178.7072,Hessian,Tonnes,"1,021"
18-Oct,6.8,8.81,179.7072,Hessian,Tonnes,"1,083"
18-Nov,6.5,9.13,180.7072,Hessian,Tonnes,959
18-Dec,6.2,9.73,181.7072,Hessian,Tonnes,"1,152"
19-Jan,7.2,10.66,182.7072,Hessian,Tonnes,"1,238"
19-Feb,8.2,10.49,183.7072,Hessian,Tonnes,943
19-Mar,9.4,10.67,184.7072,Hessian,Tonnes,"1,036"
19-Apr,8.8,11.18,185.7072,Hessian,Tonnes,851
19-May,9.1,11.6,186.7072,Hessian,Tonnes,"1,074"
19-Jun,8.9,12.43,187.7072,Hessian,Tonnes,659
19-Jul,10.3,13.26,188.7072,Hessian,Tonnes,"1,044"
19-Aug,11.6,13.09,189.7072,Hessian,Tonnes,879
19-Sep,12.6,13.51,190.7072,Hessian,Tonnes,"1,103"
19-Oct,11.1,13.67,191.7072,Hessian,Tonnes,"1,654"
19-Nov,12.3,13.84,192.7072,Hessian,Tonnes,"1,364"
19-Dec,12.4,13.84,193.7072,Hessian,Tonnes,"1,253"
13-Jan,8.1,10.61,110.7072,Sacking,Tonnes,6644
13-Feb,7.4,10.53,111.7072,Sacking,Tonnes,"7,124"
13-Mar,6.6,10.46,112.7072,Sacking,Tonnes,"8,023"
13-Apr,5.8,10.51,113.7072,Sacking,Tonnes,"7,652"
13-May,5.1,10.65,114.7072,Sacking,Tonnes,"8,136"
13-Jun,5.9,10.56,115.7072,Sacking,Tonnes,"7,066"
13-Jul,8.3,10.2,116.7072,Sacking,Tonnes,"5,980"
13-Aug,8.5,9.69,117.7072,Sacking,Tonnes,"5,038"
13-Sep,7.4,9.7,118.7072,Sacking,Tonnes,"6,445"
13-Oct,9.1,10.38,119.7072,Sacking,Tonnes,"5,599"
13-Nov,10.9,10,120.7072,Sacking,Tonnes,"6,329"
13-Dec,9.2,10.54,121.7072,Sacking,Tonnes,"6,967"
14-Jan,7.9,11.02,122.7072,Sacking,Tonnes,"6,644"
14-Feb,7.9,10.66,123.7072,Sacking,Tonnes,"5,953"
14-Mar,8.5,10.53,124.7072,Sacking,Tonnes,"6,206"
14-Apr,9.2,10.81,125.7072,Sacking,Tonnes,"6,077"
14-May,8.3,10.59,126.7072,Sacking,Tonnes,"5,225"
14-Jun,8.2,10.37,127.7072,Sacking,Tonnes,"4,876"
14-Jul,7.9,10.38,128.7072,Sacking,Tonnes,"4,883"
14-Aug,7,10.33,129.7072,Sacking,Tonnes,"5,200"
14-Sep,7.7,10.3,130.7072,Sacking,Tonnes,"5,619"
14-Oct,5.8,10.48,131.7072,Sacking,Tonnes,"4,697"
14-Nov,4,10.41,132.7072,Sacking,Tonnes,"5,259"
14-Dec,4.3,10.28,133.7072,Sacking,Tonnes,"5,689"
15-Jan,3.9,10.35,134.7072,Sacking,Tonnes,"5,848"
15-Feb,3.2,9.5,135.7072,Sacking,Tonnes,"5,855"
15-Mar,2.5,9.31,136.7072,Sacking,Tonnes,"5,789"
15-Apr,2.1,8.85,137.7072,Sacking,Tonnes,"5,907"
15-May,3.2,8.61,138.7072,Sacking,Tonnes,"5,432"
15-Jun,3.2,8.24,139.7072,Sacking,Tonnes,"4,662"
15-Jul,1.9,7.88,140.7072,Sacking,Tonnes,"3,356"
15-Aug,1.8,7.78,141.7072,Sacking,Tonnes,"4,509"
15-Sep,1.3,7.78,142.7072,Sacking,Tonnes,"3,713"
15-Oct,1.6,7.57,143.7072,Sacking,Tonnes,"3,331"
15-Nov,2.7,7.32,144.7072,Sacking,Tonnes,"3,296"
15-Dec,3.2,7.28,145.7072,Sacking,Tonnes,"2,829"
16-Jan,3.3,7.15,146.7072,Sacking,Tonnes,"1,646"
16-Feb,4,7.28,147.7072,Sacking,Tonnes,"1,351"
16-Mar,3.9,7.13,148.7072,Sacking,Tonnes,"1,064"
16-Apr,4.2,6.03,149.7072,Sacking,Tonnes,"1,535"
16-May,3.2,7.07,150.7072,Sacking,Tonnes,"1,858"
16-Jun,3.2,7.15,151.7072,Sacking,Tonnes,"3,459"
16-Jul,4.1,6.95,152.7072,Sacking,Tonnes,"1,354"
16-Aug,3.6,6.82,153.7072,Sacking,Tonnes,"1,308"
16-Sep,3.9,6.9,154.7072,Sacking,Tonnes,"1,209"
16-Oct,4.2,6.96,155.7072,Sacking,Tonnes,"1,596"
16-Nov,3.8,6.84,156.7072,Sacking,Tonnes,"1,957"
16-Dec,3.7,7,157.7072,Sacking,Tonnes,"2,624"
17-Jan,3.7,7.09,158.7072,Sacking,Tonnes,"3,973"
17-Feb,4.2,6.95,159.7072,Sacking,Tonnes,"4,419"
17-Mar,4.9,6.93,160.7072,Sacking,Tonnes,"5,262"
17-Apr,4.8,6.9,161.7072,Sacking,Tonnes,"4,936"
17-May,5,6.93,162.7072,Sacking,Tonnes,"4,688"
17-Jun,3.9,7.07,163.7072,Sacking,Tonnes,"1,539"
17-Jul,2.9,7.03,164.7072,Sacking,Tonnes,"3,707"
17-Aug,3.4,6.86,165.7072,Sacking,Tonnes,"3,790"
17-Sep,3.9,6.92,166.7072,Sacking,Tonnes,"3,008"
17-Oct,3.8,7.01,167.7072,Sacking,Tonnes,"3,442"
17-Nov,4,7.07,168.7072,Sacking,Tonnes,"3,313"
17-Dec,4.6,7.04,169.7072,Sacking,Tonnes,"4,463"
18-Jan,4.4,7.11,170.7072,Sacking,Tonnes,"4,975"
18-Feb,3.8,7.01,171.7072,Sacking,Tonnes,"4,271"
18-Mar,3.2,7,172.7072,Sacking,Tonnes,"5,038"
18-Apr,3.7,7.22,173.7072,Sacking,Tonnes,"4,896"
18-May,4.2,7.16,174.7072,Sacking,Tonnes,"4,954"
18-Jun,5.2,7.45,175.7072,Sacking,Tonnes,"3,601"
18-Jul,5.8,7.72,176.7072,Sacking,Tonnes,"3,630"
18-Aug,5.8,7.94,177.7072,Sacking,Tonnes,"3,239"
18-Sep,5.1,8.12,178.7072,Sacking,Tonnes,"3,358"
18-Oct,6.8,8.81,179.7072,Sacking,Tonnes,"3,675"
18-Nov,6.5,9.13,180.7072,Sacking,Tonnes,"3,455"
